,Vol,X1,Y1,X2,Y2,RF
1,10,0,200,40,1000,-1
2,5,200,200,240,1000,1
3,0,400,200,440,1000,-1
4,5,600,200,640,1000,1
5,10,800,200,840,1000,-1
6,25,1000,200,1040,1000,1
