,t,z,r,vz,vr,dvz,dvr
0,0.0,40.0,40.0,0.0,0.0,0.0,0.0
1,0.0010000000000000098,62.58419799826909,24.59118091466405,-0.0003966380997928757,4.090021291175394e-05,22584.19799826909,-15408.81908533595
2,0.001999999999999543,99.62127096361081,16.370342375960263,-0.0004563497532473954,-1.9941597545743343e-06,37037.07296534172,-8220.838538703789
3,0.0030000000000001094,159.58049603083927,12.715918449614378,-0.0002697825358271903,-3.403803978477303e-05,59959.22506722846,-3654.423926345885
4,0.004000000000000473,216.75251191041443,11.942752161491399,0.00010336440555757959,-4.1965968906144426e-05,57172.015879575156,-773.1662881229795
5,0.004999999999998871,252.21253731653206,11.739666465765708,0.00032846049223888375,-3.358220508058184e-05,35460.02540611764,-203.08569572569013
6,0.005999999999997269,277.464887645794,11.315444450463815,0.0004474077597297014,-2.1575837600992518e-05,25252.350329261957,-424.2220153018934
7,0.006999999999995667,299.84725291864964,10.698546616098724,0.0005065132738567985,-8.304940699856799e-06,22382.365272855623,-616.8978343650906
8,0.007999999999994878,322.8655196975451,10.02016373159006,0.0005099083258406051,3.947228150931836e-06,23018.26677889545,-678.3828845086646
9,0.008999999999997612,346.8337844140679,9.421904549082342,0.00044664055632228364,1.5081391332133079e-05,23968.26471652281,-598.2591825077179
10,0.010000000000000347,369.31747560904495,9.003614318407017,0.0003315939296720224,2.1986740450750114e-05,22483.691194977044,-418.29023067532484
11,0.011000000000003082,387.2714693495474,8.742652199004056,0.0002073507647056399,2.5695641997162453e-05,17953.993740502425,-260.96211940296143
12,0.012000000000005817,399.93824156602034,8.565764706653113,0.0001084501863754215,2.7399759828933208e-05,12666.772216472964,-176.88749235094292
13,0.013000000000008552,408.3388478952404,8.417182477356505,4.019260231252542e-05,2.730920974833153e-05,8400.606329220067,-148.5822292966077
14,0.014000000000011286,413.84675676384427,8.265988423759495,-5.109488161866373e-06,2.6762723596915814e-05,5507.908868603863,-151.19405359700977
15,0.015000000000014021,417.4628756986551,8.111894143004179,-3.4791202804217185e-05,2.607312568770173e-05,3616.1189348108564,-154.0942807553165
16,0.016000000000013503,419.8326908704169,7.954460131440101,-5.395747944046883e-05,2.5363882389734567e-05,2369.815171761786,-157.434011564078
17,0.017000000000007565,421.411902430118,7.801182715227242,-6.687439110796701e-05,2.486454311854651e-05,1579.2115597010934,-153.27741621285895
18,0.018000000000001626,422.4618428235037,7.612411857118332,-7.505728158180615e-05,2.3943402224409515e-05,1049.9403933856684,-188.77085810891003
19,0.018999999999995687,423.1718892833854,7.490698800792302,-8.079214702878426e-05,2.369455528098107e-05,710.0464598817098,-121.7130563260298
20,0.019999999999989748,423.6977481187647,7.344739150161217,-8.495208922474516e-05,2.2752527653033966e-05,525.8588353793243,-145.95965063108451
21,0.02099999999998381,424.0022906710856,7.120783953303885,-8.754607091694055e-05,2.205777149032836e-05,304.5425523208678,-223.95519685733234
22,0.02199999999997787,424.1766681586849,6.96530766762794,-8.899997390365573e-05,2.161367500651561e-05,174.37748759931534,-155.4762856759453
